Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.3,ddPCR Supermix for Probes (no dUTP),6,,,0.72,0.09,4,15438,0,4,344,15094,0,15442,,,,,,,,0.011,,,0.023,0,1.1,,,2.3,0,1,1,0,11715,2382.9,2385.3,"",,,,0.49,0.18,,,,,,,0.017,0.006,,,1.7,0.6,
"A02",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1,ddPCR Supermix for Probes (no dUTP),20,,,1.6,0.5,12,14458,1,11,608,13850,0.042,14470,,,,,,,,0.019,,,0.03,0.008,1.9,,,3,0.8,1,1,2852,11941,2437.8,2445.7,"",,,,1.29,0.72,,,,,,,0.025,0.014,,,2.4,1.3,
"A03",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.3,ddPCR Supermix for Probes (no dUTP),6,,,0.72,0.09,4,15466,0,4,228,15238,0,15470,,,,,,,,0.017,,,0.035,0,1.7,,,3.5,0,1,1,2708,11501,2326.3,2328.7,"",,,,0.49,0.17,,,,,,,0.026,0.008,,,2.6,0.8,
"A04",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,0.8,18,15288,0,18,187,15101,0,15306,,,,,,,,0.096,,,0.143,0.049,8.7,,,12.6,4.8,1,1,4049,11729,2367.6,2378.7,"",,,,1.74,1.08,,,,,,,0.119,0.072,,,10.7,6.8,
"A05",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.53,ddPCR Supermix for Probes (no dUTP),10.6,,,1.03,0.22,7,15548,0,7,400,15148,0,15555,,,,,,,,0.017,,,0.031,0.004,1.7,,,3,0.4,1,1,2782,12309,2358.8,2363.2,"",,,,0.76,0.35,,,,,,,0.024,0.011,,,2.3,1.1,
"A06",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.47,ddPCR Supermix for Probes (no dUTP),9.4,,,0.96,0.18,6,15072,0,6,420,14652,0,15078,,,,,,,,0.014,,,0.026,0.002,1.4,,,2.5,0.2,1,1,2676,10685,2270.8,2274.1,"",,,,0.69,0.3,,,,,,,0.02,0.008,,,2,0.8,
"A07",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,15173,0,0,353,14820,0,15173,,,,,,,,,,,,,,,,,,1,1,0,0,2217.3,2217.3,"",,,,,,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",4,ddPCR Supermix for Probes (no dUTP),80,,,5.2,2.9,44,13066,0,44,0,13066,0,13110,,,,,,,,,,,,,,,,,,1,1,2732,3086,2424.1,2426.3,"",,,,4.6,3.4,,,,,,,,,,,,,
"A09",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.4,0.9,19,14472,1,18,443,14029,0.035,14491,,,,,,,,0.042,,,0.062,0.023,4,,,5.8,2.2,1,1,2790,12708,2380,2393.5,"",,,,1.93,1.22,,,,,,,0.052,0.032,,,5,3.1,
"A10",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1.3,ddPCR Supermix for Probes (no dUTP),26,,,2,0.7,16,14785,1,15,576,14209,0.0312,14801,,,,,,,,0.027,,,0.041,0.014,2.6,,,3.9,1.4,1,1,3336,12170,2317.7,2328.3,"",,,,1.62,0.98,,,,,,,0.034,0.02,,,3.3,2,
"A11",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,12902,0,0,56,12846,0,12902,,,,,,,,,,,,,,,,,,1,1,0,0,2335.2,2335.2,"",,,,,,,,,,,,,,,,,,
"A12",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.26,ddPCR Supermix for Probes (no dUTP),5.2,,,0.68,0.06,3,13720,0,3,467,13253,0,13723,,,,,,,,0.006,,,0.014,0,0.6,,,1.4,0,1,1,2641,12600,2277.2,2279.5,"",,,,0.44,0.13,,,,,,,0.0101,0.0025,,,1,0.25,
"B01",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.8,0.7,16,16146,2,14,767,15379,0.0948,16162,,,,,,,,0.02,,,0.031,0.01,2,,,3,1,1,1,3309,12365,2372.2,2382.1,"",,,,1.48,0.9,,,,,,,0.025,0.015,,,2.49,1.5,
"B02",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",2.7,ddPCR Supermix for Probes (no dUTP),54,,,3.7,1.9,37,15932,28,9,572,15360,2.04,15969,,,,,,,,0.061,,,0.081,0.04,5.7,,,7.5,3.9,1,1,2851,4465.8,2401.1,2405.9,"",,,,3.2,2.31,,,,,,,0.071,0.05,,,6.6,4.8,
"B03",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1,ddPCR Supermix for Probes (no dUTP),20,,,1.7,0.6,14,15996,0,14,648,15348,0,16010,,,,,,,,0.021,,,0.033,0.01,2.1,,,3.2,1,1,1,2733,11578,2343.6,2351.7,"",,,,1.33,0.78,,,,,,,0.027,0.015,,,2.6,1.5,
"B04",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.63,ddPCR Supermix for Probes (no dUTP),12.6,,,1.19,0.29,8,14846,0,8,369,14477,0,14854,,,,,,,,0.021,,,0.037,0.006,2.1,,,3.6,0.6,1,1,2752,12455,2374.6,2380,"",,,,0.89,0.43,,,,,,,0.029,0.014,,,2.8,1.4,
"B05",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.72,ddPCR Supermix for Probes (no dUTP),14.4,,,1.3,0.34,9,14746,0,9,600,14146,0,14755,,,,,,,,0.015,,,0.025,0.005,1.4,,,2.4,0.5,1,1,2740,11462,2340.2,2345.8,"",,,,0.99,0.5,,,,,,,0.0197,0.0097,,,1.93,0.97,
"B06",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.8,ddPCR Supermix for Probes (no dUTP),16,,,1.4,0.4,10,14478,0,10,630,13848,0,14488,,,,,,,,0.016,,,0.025,0.006,1.5,,,2.5,0.6,1,1,2760,11719,2358.3,2364.8,"",,,,1.1,0.58,,,,,,,0.0205,0.0106,,,2.01,1.05,
"B07",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.9,0.7,14,13766,0,14,598,13168,0,13780,,,,,,,,0.023,,,0.035,0.011,2.2,,,3.4,1.1,1,1,4053,11801,2399.6,2409.2,"",,,,1.55,0.9,,,,,,,0.029,0.017,,,2.8,1.6,
"B08",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.9,ddPCR Supermix for Probes (no dUTP),18,,,1.6,0.5,11,13738,1,10,370,13368,0.0619,13749,,,,,,,,0.029,,,0.047,0.011,2.8,,,4.5,1.2,1,1,2877,12399,2462.4,2470.4,"",,,,1.26,0.68,,,,,,,0.038,0.02,,,3.7,2,
"B09",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.49,ddPCR Supermix for Probes (no dUTP),9.8,,,1,0.19,6,14370,0,6,275,14095,0,14376,,,,,,,,0.022,,,0.04,0.004,2.1,,,3.8,0.4,1,1,2921,13642,2440.3,2445,"",,,,0.72,0.32,,,,,,,0.031,0.013,,,3,1.2,
"B10",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",0.71,ddPCR Supermix for Probes (no dUTP),14.2,,,1.28,0.34,9,14952,0,9,410,14542,0,14961,,,,,,,,0.022,,,0.036,0.007,2.1,,,3.5,0.7,1,1,2754,12135,2371.3,2377.1,"",,,,0.97,0.5,,,,,,,0.029,0.014,,,2.8,1.4,
"B11",Absolute Quantification,"ABS","WT",Ch1Unknown,"TFRC","OK",4.5,ddPCR Supermix for Probes (no dUTP),90,,,5.7,3.4,56,14731,30,26,712,14019,2.28,14787,,,,,,,,0.074,,,0.094,0.054,6.9,,,8.6,5.1,1,1,2795,6970.7,2335.6,2353.2,"",,,,5.1,3.9,,,,,,,0.084,0.064,,,7.7,6,
