,image_idx,cell_idx,n_spots,gfp
0,1.0,3.0,1.0,0.02226851305793664
1,1.0,2.0,7.0,0.027496152051269814
2,1.0,0.0,4.0,0.02600504499708656
3,2.0,7.0,64.0,0.03775059948398443
4,2.0,6.0,79.0,0.040787375234289984
5,2.0,5.0,72.0,0.04248599602232663
6,2.0,4.0,118.0,0.05440031698842975
7,2.0,3.0,131.0,0.054739527182993256
8,2.0,2.0,62.0,0.053380102310121434
9,2.0,1.0,73.0,0.05472159202559399
10,2.0,0.0,144.0,0.05257600465063975
11,3.0,9.0,68.0,0.034117724778592776
12,3.0,10.0,2.0,0.028173681646840476
13,3.0,8.0,11.0,0.039191911328451276
14,3.0,7.0,94.0,0.039690102729789095
15,3.0,6.0,80.0,0.04691365888544894
16,3.0,5.0,70.0,0.045589778035330805
17,3.0,4.0,116.0,0.04642932497571507
18,3.0,1.0,65.0,0.042897691833543625
19,3.0,3.0,143.0,0.03944718563602974
20,3.0,2.0,80.0,0.0461577580613509
21,3.0,0.0,63.0,0.04219622239001866
22,4.0,13.0,92.0,0.0397028003123306
23,4.0,12.0,81.0,0.037628197788344885
24,4.0,11.0,115.0,0.044411333064934326
25,4.0,10.0,62.0,0.047131551262935924
26,4.0,9.0,57.0,0.0483627996104516
27,4.0,8.0,77.0,0.04704578402672138
28,4.0,7.0,135.0,0.04888550271438485
29,4.0,6.0,79.0,0.05668586447560675
30,4.0,5.0,127.0,0.058245125692993185
31,4.0,3.0,83.0,0.07134598465567761
32,4.0,4.0,95.0,0.06982301253331012
33,4.0,2.0,103.0,0.05330462196997162
34,4.0,0.0,128.0,0.05432801573922259
35,4.0,1.0,93.0,0.07638133573883121
36,5.0,17.0,61.0,0.04344792065332565
37,5.0,16.0,83.0,0.043711957213793125
38,5.0,15.0,83.0,0.03856751447824174
39,5.0,14.0,82.0,0.042130170522447566
40,5.0,13.0,70.0,0.0366416597429226
41,5.0,12.0,96.0,0.03875745233663826
42,5.0,11.0,86.0,0.040198323458544384
43,5.0,10.0,111.0,0.04228348830934525
44,5.0,9.0,182.0,0.048805732967190166
45,5.0,8.0,66.0,0.06348111753766965
46,5.0,7.0,124.0,0.05090222792750102
47,5.0,6.0,51.0,0.04888109549243988
48,5.0,5.0,97.0,0.058338929328315636
49,5.0,4.0,48.0,0.06470448822319716
50,5.0,3.0,93.0,0.05815079390055936
51,5.0,2.0,39.0,0.06328541701714667
52,5.0,1.0,189.0,0.04370125714021377
53,5.0,0.0,52.0,0.059893086354668175
54,6.0,20.0,19.0,0.04115682995362999
55,6.0,19.0,15.0,0.04347975553768324
56,6.0,18.0,5.0,0.04491754553316815
57,6.0,17.0,20.0,0.05039491159822988
58,6.0,16.0,31.0,0.0478992819749684
59,6.0,15.0,41.0,0.05893469338490455
60,6.0,14.0,29.0,0.048762729957037676
61,6.0,13.0,21.0,0.05402828741786201
62,6.0,12.0,25.0,0.04415832066277025
63,6.0,11.0,106.0,0.058671110537141566
64,6.0,10.0,119.0,0.04959572665025418
65,6.0,9.0,43.0,0.05638723551133356
66,6.0,8.0,52.0,0.061809098737244474
67,6.0,7.0,67.0,0.047395636719881284
68,6.0,6.0,92.0,0.05295116445259308
69,6.0,5.0,83.0,0.04830146379804123
70,6.0,4.0,102.0,0.056091681339710035
71,6.0,3.0,75.0,0.05391835032268935
72,6.0,2.0,93.0,0.05535818571646975
73,6.0,1.0,71.0,0.046761744518439834
74,6.0,0.0,44.0,0.041019075366286725
75,7.0,20.0,27.0,0.0580082756014096
76,7.0,17.0,27.0,0.04944720468937879
77,7.0,18.0,118.0,0.09727468502728892
78,7.0,19.0,74.0,0.05545835305545877
79,7.0,16.0,20.0,0.06413579631331158
80,7.0,15.0,40.0,0.05818722839820674
81,7.0,14.0,54.0,0.05614321384073514
82,7.0,13.0,54.0,0.054538162037908684
83,7.0,12.0,63.0,0.057480568274061436
84,7.0,11.0,48.0,0.05098635047813338
85,7.0,10.0,47.0,0.05990647314685004
86,7.0,9.0,65.0,0.0588212776519686
87,7.0,8.0,36.0,0.05504897208901148
88,7.0,6.0,47.0,0.05600043033019822
89,7.0,7.0,32.0,0.045720413065045366
90,7.0,5.0,31.0,0.06593981170437982
91,7.0,3.0,27.0,0.04927076502648512
92,7.0,2.0,50.0,0.04325210242311095
93,7.0,4.0,34.0,0.06122081276678641
94,7.0,1.0,32.0,0.05678957948764829
95,7.0,0.0,48.0,0.06382310045701915
96,8.0,21.0,52.0,0.053220238898942084
97,8.0,20.0,7.0,0.04225623031431486
98,8.0,19.0,31.0,0.052936052843940255
99,8.0,18.0,1.0,0.03705634023697027
100,8.0,16.0,14.0,0.04029360697986672
101,8.0,15.0,25.0,0.05032321836678605
102,8.0,17.0,1.0,0.03731155502199666
103,8.0,14.0,9.0,0.0509265838600504
104,8.0,13.0,11.0,0.04293694288166186
105,8.0,12.0,12.0,0.04804431196404366
106,8.0,11.0,21.0,0.04491014272831881
107,8.0,10.0,14.0,0.04592404430591515
108,8.0,9.0,12.0,0.04617771670061351
109,8.0,8.0,23.0,0.0608713793651351
110,8.0,7.0,20.0,0.05375998248305382
111,8.0,6.0,14.0,0.05257143307838783
112,8.0,5.0,18.0,0.049478536033972086
113,8.0,2.0,5.0,0.044498640572269495
114,8.0,4.0,6.0,0.048352733294343524
115,8.0,3.0,17.0,0.05024919990985145
116,8.0,1.0,12.0,0.04349791526011191
117,8.0,0.0,8.0,0.04876739961269741
118,9.0,17.0,15.0,0.04073976592727225
119,9.0,14.0,6.0,0.03907344925734136
120,9.0,15.0,12.0,0.04487422418037182
121,9.0,16.0,4.0,0.03940545543958877
122,9.0,13.0,13.0,0.04471037607641648
123,9.0,11.0,5.0,0.04388820269293285
124,9.0,10.0,3.0,0.04846359550095557
125,9.0,12.0,2.0,0.04383322885728205
126,9.0,9.0,16.0,0.05348671601702455
127,9.0,8.0,3.0,0.04887463290453942
