DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
05:51:59.660 2018-11-13,42.84702,40,0,0,40,41
05:52:00.675 2018-11-13,40.34558,40,0,0,40,41
05:52:01.675 2018-11-13,41.47048,40,0,0,40,41
05:52:02.674 2018-11-13,41.89315,40,0,0,40,41
05:52:03.674 2018-11-13,39.87368,40,51.11194,0.1263161,40,41
05:52:04.674 2018-11-13,42.92737,40,0,0,40,41
05:52:05.674 2018-11-13,42.90358,40,0,0,40,41
05:52:06.674 2018-11-13,40.5949,40,0,0,40,41
05:52:07.658 2018-11-13,41.35638,40,0,0,40,41
05:52:08.657 2018-11-13,42.3306,40,0,0,40,41
05:52:09.657 2018-11-13,40.18867,40,14.60881,0,40,41
05:52:10.657 2018-11-13,42.32659,40,0,0,40,41
05:52:11.657 2018-11-13,42.35537,40,0,0,40,41
05:52:12.656 2018-11-13,40.24232,40,7.92571,0,40,41
05:52:13.656 2018-11-13,41.94976,40,0,0,40,41
05:52:14.656 2018-11-13,42.50507,40,0,0,40,41
05:52:15.669 2018-11-13,40.45687,40,0,0,40,41
05:52:16.669 2018-11-13,40.9633,40,0,0,40,41
05:52:17.668 2018-11-13,41.61143,40,0,0,40,41
05:52:18.668 2018-11-13,40.18077,40,19.95723,0,40,41
05:52:19.668 2018-11-13,41.42686,40,0,0,40,41
05:52:20.667 2018-11-13,41.71167,40,0,0,40,41
05:52:21.667 2018-11-13,40.28903,40,0,0,40,41
05:52:22.667 2018-11-13,40.73693,40,0,0,40,41
05:52:23.667 2018-11-13,42.06975,40,0,0,40,41
05:52:24.666 2018-11-13,41.08548,40,0,0,40,41
05:52:25.666 2018-11-13,39.77135,40,88.9284,0.1690254,40,41
05:52:26.666 2018-11-13,41.28298,40,0,0,40,41
05:52:27.666 2018-11-13,42.29089,40,0,0,40,41
05:52:28.665 2018-11-13,41.17177,40,0,0,40,41
05:52:29.681 2018-11-13,39.96811,40,38.2723,0,40,41
05:52:30.681 2018-11-13,40.50953,40,19.49072,0,40,41
05:52:31.680 2018-11-13,43.48528,40,0,0,40,41
05:52:32.680 2018-11-13,42.46744,40,0,0,40,41
05:52:33.680 2018-11-13,41.06456,40,0,0,40,41
05:52:34.680 2018-11-13,39.69383,40,100,0.2465401,40,41
05:52:35.679 2018-11-13,41.14199,40,0,0,40,41
05:52:36.679 2018-11-13,42.85504,40,0,0,40,41
05:52:37.679 2018-11-13,41.88525,40,0,0,40,41
05:52:38.679 2018-11-13,40.78265,40,0,0,40,41
05:52:39.678 2018-11-13,39.77538,40,100,0.2663689,40,41
05:52:40.678 2018-11-13,44.08051,40,0,0,40,41
05:52:41.678 2018-11-13,44.96849,40,0,0,40,41
