DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
09:58:33.131 2018-11-20,25.95645,40,100,14.04355,40,41
09:58:34.172 2018-11-20,28.06034,40,100,12.19792,40,41
09:58:35.128 2018-11-20,30.3615,40,100,9.638502,40,41
09:58:36.188 2018-11-20,33.29965,40,100,6.834255,40,41
09:58:37.127 2018-11-20,35.21541,40,95.26838,4.784588,40,41
09:58:38.187 2018-11-20,38.29556,40,0,1.866623,40,41
09:58:39.114 2018-11-20,40.55923,40,0,0,40,41
09:58:40.173 2018-11-20,42.29388,40,0,0,40,41
09:58:41.131 2018-11-20,43.37725,40,0,0,40,41
09:58:42.183 2018-11-20,43.99629,40,0,0,40,41
09:58:43.141 2018-11-20,44.22608,40,0,0,40,41
09:58:44.172 2018-11-20,44.32208,40,0,0,40,41
09:58:45.131 2018-11-20,44.23298,40,0,0,40,41
09:58:46.188 2018-11-20,44.03692,40,0,0,40,41
09:58:47.131 2018-11-20,43.69918,40,0,0,40,41
09:58:48.187 2018-11-20,43.23553,40,0,0,40,41
09:58:49.132 2018-11-20,42.88969,40,0,0,40,41
09:58:50.187 2018-11-20,42.25511,40,0,0,40,41
09:58:51.131 2018-11-20,41.70066,40,0,0,40,41
09:58:52.187 2018-11-20,41.16976,40,0,0,40,41
09:58:53.132 2018-11-20,40.54618,40,7.281435,0,40,41
09:58:54.203 2018-11-20,39.89956,40,28.12482,0.06467056,40,41
09:58:55.131 2018-11-20,39.5308,40,43.66102,0.4691963,40,41
09:58:56.172 2018-11-20,39.26835,40,54.10552,0.7216492,40,41
09:58:57.132 2018-11-20,39.43441,40,48.99083,0.589447,40,41
09:58:58.196 2018-11-20,39.85878,40,34.27399,0.1958427,40,41
09:58:59.141 2018-11-20,40.50754,40,7.784922,0,40,41
09:59:00.187 2018-11-20,41.06851,40,0,0,40,41
09:59:01.131 2018-11-20,41.24026,40,0,0,40,41
09:59:02.173 2018-11-20,41.1857,40,0,0,40,41
09:59:03.131 2018-11-20,40.93248,40,0,0,40,41
09:59:04.171 2018-11-20,40.65055,40,7.433773,0,40,41
09:59:05.140 2018-11-20,40.28107,40,19.922,0,40,41
09:59:06.187 2018-11-20,39.95918,40,30.30272,0.04389572,40,41
09:59:07.156 2018-11-20,39.85186,40,32.44781,0.1481438,40,41
09:59:08.171 2018-11-20,39.91454,40,29.04516,0.09642029,40,41
09:59:09.157 2018-11-20,40.10225,40,21.186,0,40,41
09:59:10.204 2018-11-20,40.35758,40,10.86052,0,40,41
09:59:11.188 2018-11-20,40.59595,40,0,0,40,41
09:59:12.188 2018-11-20,40.63766,40,0,0,40,41
09:59:13.202 2018-11-20,40.49158,40,2.147205,0,40,41
09:59:14.229 2018-11-20,40.1857,40,13.30392,0,40,41
09:59:15.235 2018-11-20,39.89762,40,23.52798,0.1023827,40,41
09:59:16.250 2018-11-20,39.67393,40,31.12152,0.3141441,40,41
09:59:17.281 2018-11-20,39.61333,40,34.13474,0.3866653,40,41
09:59:18.281 2018-11-20,39.7276,40,30.14159,0.2723961,40,41
09:59:19.281 2018-11-20,39.98995,40,21.53345,0.02793884,40,41
09:59:20.281 2018-11-20,40.31779,40,8.749275,0,40,41
09:59:21.300 2018-11-20,40.53733,40,0,0,40,41
09:59:22.327 2018-11-20,40.58097,40,0,0,40,41
09:59:23.328 2018-11-20,40.39624,40,5.683858,0,40,41
09:59:24.328 2018-11-20,40.1459,40,14.40311,0,40,41
09:59:25.343 2018-11-20,39.87571,40,22.76912,0.1064072,40,41
09:59:26.360 2018-11-20,39.69182,40,29.94092,0.3022156,40,41
09:59:27.383 2018-11-20,39.66201,40,31.53291,0.3379936,40,41
09:59:28.390 2018-11-20,39.82704,40,26.81127,0.2058449,40,41
09:59:29.406 2018-11-20,40.07937,40,16.95095,0,40,41
09:59:30.405 2018-11-20,40.28896,40,8.200662,0,40,41
09:59:31.422 2018-11-20,40.48466,40,0,0,40,41
09:59:32.437 2018-11-20,40.45679,40,1.309896,0,40,41
09:59:33.437 2018-11-20,40.32182,40,5.034566,0,40,41
09:59:34.437 2018-11-20,40.01073,40,15.75979,0,40,41
09:59:35.436 2018-11-20,39.76934,40,24.77723,0.2246971,40,41
09:59:36.437 2018-11-20,39.63316,40,28.93106,0.3349304,40,41
09:59:37.438 2018-11-20,39.64718,40,30.52595,0.3587837,40,41
09:59:38.437 2018-11-20,39.78819,40,26.04822,0.2237282,40,41
09:59:39.437 2018-11-20,40.0088,40,18.92868,0.01101685,40,41
09:59:40.437 2018-11-20,40.30184,40,7.478057,0,40,41
09:59:41.437 2018-11-20,40.50754,40,0,0,40,41
09:59:42.436 2018-11-20,40.51446,40,0,0,40,41
09:59:43.448 2018-11-20,40.34067,40,5.555739,0,40,41
09:59:44.441 2018-11-20,40.06245,40,15.08823,0,40,41
09:59:45.440 2018-11-20,39.8359,40,21.35534,0.1193008,40,41
09:59:46.449 2018-11-20,39.67297,40,29.07785,0.3210678,40,41
09:59:47.442 2018-11-20,39.67297,40,29.86479,0.3329926,40,41
09:59:48.449 2018-11-20,39.79819,40,26.29075,0.2256584,40,41
09:59:49.452 2018-11-20,40.05552,40,16.88782,0,40,41
09:59:50.453 2018-11-20,40.31779,40,6.297877,0,40,41
09:59:51.452 2018-11-20,40.44295,40,0.5147862,0,40,41
09:59:52.457 2018-11-20,40.42007,40,1.333421,0,40,41
09:59:53.469 2018-11-20,40.22839,40,8.056997,0,40,41
09:59:54.485 2018-11-20,39.97802,40,15.58095,0,40,41
09:59:55.485 2018-11-20,39.69971,40,26.49837,0.2883568,40,41
09:59:56.484 2018-11-20,39.57352,40,32.34659,0.4264832,40,41
09:59:57.508 2018-11-20,39.60334,40,32.49076,0.4085922,40,41
09:59:58.500 2018-11-20,39.80608,40,25.48287,0.2058449,40,41
09:59:59.499 2018-11-20,40.09322,40,14.97401,0,40,41
10:00:00.500 2018-11-20,40.37336,40,4.547377,0,40,41
10:00:01.532 2018-11-20,40.56213,40,0,0,40,41
10:00:02.530 2018-11-20,40.52042,40,0.9199314,0,40,41
10:00:03.530 2018-11-20,40.31279,40,7.124132,0,40,41
10:00:04.546 2018-11-20,40.03264,40,16.59556,0,40,41
10:00:05.547 2018-11-20,39.81399,40,24.73382,0.1860123,40,41
10:00:06.578 2018-11-20,39.70069,40,28.80662,0.2993088,40,41
10:00:07.575 2018-11-20,39.76434,40,26.89052,0.2466164,40,41
10:00:08.578 2018-11-20,39.91937,40,20.96485,0.08063126,40,41
10:00:09.579 2018-11-20,40.17071,40,11.88512,0,40,41
10:00:10.594 2018-11-20,40.38029,40,2.740321,0,40,41
10:00:11.670 2018-11-20,40.47967,40,0,0,40,41
10:00:12.624 2018-11-20,40.37336,40,2.300816,0,40,41
10:00:13.625 2018-11-20,40.13494,40,10.49765,0,40,41
10:00:14.624 2018-11-20,39.90841,40,18.53401,0.09159088,40,41
10:00:15.625 2018-11-20,39.65797,40,27.65032,0.330101,40,41
10:00:16.641 2018-11-20,39.57948,40,31.83022,0.4205208,40,41
10:00:17.678 2018-11-20,39.62913,40,30.87199,0.3708725,40,41
10:00:18.656 2018-11-20,39.86169,40,23.45758,0.1562004,40,41
10:00:19.685 2018-11-20,40.19955,40,11.19365,0,40,41
10:00:20.679 2018-11-20,40.41009,40,2.404212,0,40,41
