DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
05:20:03.570 2018-11-20,23.30704,60,100,36.69296,60,61
05:20:04.570 2018-11-20,24.44373,60,100,35.65909,60,61
05:20:05.570 2018-11-20,26.07555,60,100,34.02108,60,61
05:20:06.570 2018-11-20,27.75411,60,100,32.24589,60,61
05:20:07.569 2018-11-20,29.47021,60,100,30.66825,60,61
05:20:08.569 2018-11-20,31.58015,60,100,28.54002,60,61
05:20:09.585 2018-11-20,33.56283,60,100,26.43717,60,61
05:20:10.600 2018-11-20,35.49899,60,100,24.65067,60,61
05:20:11.600 2018-11-20,37.79417,60,100,22.33725,60,61
05:20:12.600 2018-11-20,39.89675,60,100,20.10325,60,61
05:20:13.599 2018-11-20,41.93114,60,100,18.22362,60,61
05:20:14.599 2018-11-20,44.26391,60,100,15.87273,60,61
05:20:15.599 2018-11-20,46.41059,60,100,13.58941,60,61
05:20:16.599 2018-11-20,48.42638,60,100,11.72758,60,61
05:20:17.598 2018-11-20,50.71912,60,100,9.410961,60,61
05:20:18.598 2018-11-20,52.80191,60,100,7.198093,60,61
05:20:19.598 2018-11-20,54.74338,60,93.5843,5.409966,60,61
05:20:20.598 2018-11-20,56.93211,60,48.08522,3.191608,60,61
05:20:21.598 2018-11-20,58.85567,60,0,1.144329,60,61
05:20:22.597 2018-11-20,60.40404,60,0,0,60,61
05:20:23.597 2018-11-20,61.6683,60,0,0,60,61
05:20:24.597 2018-11-20,62.42562,60,0,0,60,61
05:20:25.597 2018-11-20,62.89482,60,0,0,60,61
05:20:26.596 2018-11-20,63.21212,60,0,0,60,61
05:20:27.596 2018-11-20,63.31296,60,0,0,60,61
05:20:28.596 2018-11-20,63.25515,60,0,0,60,61
05:20:29.596 2018-11-20,63.03187,60,0,0,60,61
05:20:30.595 2018-11-20,62.71758,60,0,0,60,61
05:20:31.595 2018-11-20,62.28647,60,0,0,60,61
05:20:32.595 2018-11-20,61.71931,60,0,0,60,61
05:20:33.595 2018-11-20,61.09894,60,3.80397,0,60,61
05:20:34.595 2018-11-20,60.47954,60,22.83966,0,60,61
05:20:35.626 2018-11-20,59.73532,60,51.41658,0.2646751,60,61
05:20:36.625 2018-11-20,59.2422,60,73.01683,0.7578011,60,61
05:20:37.625 2018-11-20,58.9527,60,88.65642,1.047302,60,61
05:20:38.625 2018-11-20,58.94776,60,92.82027,1.052238,60,61
05:20:39.625 2018-11-20,59.246,60,82.90162,0.7539978,60,61
05:20:40.624 2018-11-20,59.72849,60,66.23098,0.2715073,60,61
05:20:41.624 2018-11-20,60.45014,60,38.23562,0,60,61
05:20:42.624 2018-11-20,61.09115,60,6.116512,0,60,61
05:20:43.624 2018-11-20,61.53404,60,0,0,60,61
05:20:44.623 2018-11-20,61.72121,60,0,0,60,61
05:20:45.623 2018-11-20,61.63891,60,0,0,60,61
05:20:46.623 2018-11-20,61.40469,60,1.608382,0,60,61
05:20:47.607 2018-11-20,61.02743,60,12.2302,0,60,61
05:20:48.623 2018-11-20,60.61577,60,26.78029,0,60,61
05:20:49.607 2018-11-20,60.23442,60,37.60041,0,60,61
05:20:50.606 2018-11-20,59.8972,60,48.00989,0.09104156,60,61
05:20:51.606 2018-11-20,59.70401,60,54.51583,0.2959938,60,61
05:20:52.606 2018-11-20,59.65789,60,55.76286,0.3479958,60,61
05:20:53.606 2018-11-20,59.73932,60,52.61578,0.266571,60,61
05:20:54.605 2018-11-20,59.92169,60,45.82219,0.07831192,60,61
05:20:55.605 2018-11-20,60.14523,60,38.38471,0,60,61
05:20:56.605 2018-11-20,60.40499,60,27.23895,0,60,61
05:20:57.605 2018-11-20,60.60799,60,16.58421,0,60,61
05:20:58.604 2018-11-20,60.68635,60,11.10049,0,60,61
05:20:59.604 2018-11-20,60.64518,60,9.548311,0,60,61
05:21:00.620 2018-11-20,60.47557,60,14.15854,0,60,61
05:21:01.619 2018-11-20,60.23839,60,20.66173,0,60,61
05:21:02.619 2018-11-20,59.9325,60,30.66948,0.04985809,60,61
05:21:03.635 2018-11-20,59.69812,60,39.76692,0.3018799,60,61
05:21:04.650 2018-11-20,59.52161,60,46.69125,0.4666214,60,61
05:21:05.650 2018-11-20,59.43924,60,51.75576,0.554882,60,61
05:21:06.649 2018-11-20,59.46865,60,52.67026,0.5313454,60,61
05:21:07.649 2018-11-20,59.61479,60,49.19062,0.3969765,60,61
05:21:08.649 2018-11-20,59.84616,60,42.25428,0.1714897,60,61
05:21:09.649 2018-11-20,60.08242,60,34.0338,0,60,61
05:21:10.648 2018-11-20,60.33743,60,24.985,0,60,61
05:21:11.648 2018-11-20,60.4824,60,17.88186,0,60,61
05:21:12.679 2018-11-20,60.53439,60,13.8961,0,60,61
05:21:13.679 2018-11-20,60.48051,60,14.25517,0,60,61
05:21:14.694 2018-11-20,60.33838,60,17.9451,0,60,61
05:21:15.694 2018-11-20,60.1678,60,23.14488,0,60,61
05:21:16.694 2018-11-20,59.92661,60,30.78567,0.06655121,60,61
05:21:17.694 2018-11-20,59.70893,60,38.55508,0.2793007,60,61
05:21:18.693 2018-11-20,59.58045,60,44.53635,0.4195518,60,61
05:21:19.724 2018-11-20,59.50985,60,48.87688,0.4901543,60,61
05:21:20.724 2018-11-20,59.54515,60,49.12749,0.4548492,60,61
05:21:21.724 2018-11-20,59.65105,60,46.55251,0.3489456,60,61
05:21:22.724 2018-11-20,59.86874,60,40.22454,0.1430283,60,61
05:21:23.723 2018-11-20,60.10993,60,32.50598,0,60,61
05:21:24.723 2018-11-20,60.2864,60,25.21608,0,60,61
05:21:25.723 2018-11-20,60.45299,60,18.22572,0,60,61
05:21:26.723 2018-11-20,60.52262,60,13.32101,0,60,61
05:21:27.723 2018-11-20,60.48733,60,12.96824,0,60,61
05:21:28.722 2018-11-20,60.34427,60,16.47565,0,60,61
05:21:29.722 2018-11-20,60.12758,60,23.34539,0,60,61
05:21:30.722 2018-11-20,59.95205,60,29.0836,0.04795074,60,61
05:21:31.722 2018-11-20,59.75012,60,36.10416,0.2439995,60,61
05:21:32.722 2018-11-20,59.59905,60,42.42764,0.3950653,60,61
05:21:33.721 2018-11-20,59.5628,60,45.11164,0.4372025,60,61
05:21:34.721 2018-11-20,59.60302,60,45.13835,0.4028587,60,61
05:21:35.721 2018-11-20,59.72754,60,41.73537,0.2783394,60,61
05:21:36.721 2018-11-20,59.85697,60,38.03408,0.1430283,60,61
05:21:37.736 2018-11-20,60.06876,60,31.58622,0,60,61
05:21:38.736 2018-11-20,60.24427,60,24.86854,0,60,61
05:21:39.736 2018-11-20,60.33345,60,20.80405,0,60,61
05:21:40.751 2018-11-20,60.39531,60,17.32646,0,60,61
05:21:41.782 2018-11-20,60.31676,60,19.08878,0,60,61
05:21:42.782 2018-11-20,60.25015,60,20.59583,0,60,61
05:21:43.781 2018-11-20,60.07956,60,25.5881,0,60,61
