DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:11:27.420 2018-11-21,21.02556,60,0,0,60,61
01:11:28.373 2018-11-21,21.02556,60,0,0,60,61
01:11:29.451 2018-11-21,21.02457,60,100,38.97543,60,61
01:11:30.373 2018-11-21,21.07508,60,100,38.92492,60,61
01:11:31.466 2018-11-21,21.36526,60,100,38.659,60,61
01:11:32.388 2018-11-21,21.77662,60,100,38.25369,60,61
01:11:33.466 2018-11-21,22.29481,60,100,37.70519,60,61
01:11:34.387 2018-11-21,22.89966,60,100,37.1488,60,61
01:11:35.418 2018-11-21,23.74841,60,100,36.30001,60,61
01:11:36.387 2018-11-21,24.44911,60,100,35.55089,60,61
01:11:37.465 2018-11-21,25.36609,60,100,34.69434,60,61
01:11:38.386 2018-11-21,26.21181,60,100,33.84858,60,61
01:11:39.464 2018-11-21,27.14637,60,100,32.85363,60,61
01:11:40.417 2018-11-21,28.05195,60,100,31.94805,60,61
01:11:41.417 2018-11-21,29.21472,60,100,30.85152,60,61
01:11:42.432 2018-11-21,30.17365,60,100,29.82635,60,61
01:11:43.463 2018-11-21,31.32305,60,100,28.75005,60,61
01:11:44.432 2018-11-21,32.43322,60,100,27.63882,60,61
01:11:45.463 2018-11-21,33.47627,60,100,26.52373,60,61
01:11:46.431 2018-11-21,34.61512,60,100,25.46276,60,61
01:11:47.462 2018-11-21,35.90335,60,100,24.15844,60,61
01:11:48.431 2018-11-21,36.90619,60,100,23.09381,60,61
01:11:49.462 2018-11-21,38.15491,60,100,21.93868,60,61
01:11:50.430 2018-11-21,39.31873,60,100,20.75285,60,61
01:11:51.461 2018-11-21,40.40887,60,100,19.59113,60,61
01:11:52.430 2018-11-21,41.57235,60,100,18.51101,60,61
01:11:53.445 2018-11-21,42.82195,60,100,17.24943,60,61
01:11:54.429 2018-11-21,43.90291,60,100,16.09709,60,61
01:11:55.445 2018-11-21,45.07393,60,100,15.00919,60,61
