DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:23:23.663 2018-11-21,23.45983,60,0,0,60,61
01:23:24.663 2018-11-21,23.4245,60,0,0,60,61
01:23:25.678 2018-11-21,23.39521,60,100,36.59465,60,61
01:23:26.678 2018-11-21,23.43562,60,100,36.57043,60,61
01:23:27.678 2018-11-21,23.66057,60,100,36.35252,60,61
01:23:28.677 2018-11-21,23.99848,60,100,36.05499,60,61
01:23:29.677 2018-11-21,24.54292,60,100,35.48732,60,61
01:23:30.677 2018-11-21,25.16664,60,100,34.86456,60,61
01:23:31.677 2018-11-21,25.74674,60,100,34.33686,60,61
01:23:32.692 2018-11-21,26.56099,60,100,33.49236,60,61
01:23:33.692 2018-11-21,27.40577,60,100,32.64249,60,61
01:23:34.691 2018-11-21,28.13535,60,100,31.97119,60,61
01:23:35.785 2018-11-21,29.23684,60,100,30.81735,60,61
01:23:36.722 2018-11-21,30.11152,60,100,29.88848,60,61
01:23:37.769 2018-11-21,31.11884,60,100,28.94728,60,61
01:23:38.722 2018-11-21,32.0861,60,100,27.9139,60,61
01:23:39.737 2018-11-21,33.17943,60,100,26.82057,60,61
01:23:40.721 2018-11-21,34.09783,60,100,25.90217,60,61
01:23:41.737 2018-11-21,35.36176,60,100,24.71009,60,61
01:23:42.721 2018-11-21,36.44479,60,100,23.55521,60,61
01:23:43.783 2018-11-21,37.57553,60,100,22.50214,60,61
01:23:44.720 2018-11-21,38.66139,60,100,21.33861,60,61
01:23:45.783 2018-11-21,39.86046,60,100,20.13954,60,61
01:23:46.720 2018-11-21,40.86573,60,100,19.13427,60,61
01:23:47.782 2018-11-21,42.28461,60,100,17.78679,60,61
01:23:48.704 2018-11-21,43.38599,60,100,16.68439,60,61
01:23:49.782 2018-11-21,44.54657,60,100,15.53658,60,61
01:23:50.703 2018-11-21,45.65861,60,100,14.41853,60,61
01:23:51.766 2018-11-21,46.89131,60,100,13.10869,60,61
01:23:52.703 2018-11-21,47.8829,60,100,12.2276,60,61
01:23:53.781 2018-11-21,49.30297,60,100,10.76213,60,61
01:23:54.702 2018-11-21,50.38955,60,100,9.681412,60,61
01:23:55.733 2018-11-21,51.495,60,100,8.593636,60,61
01:23:56.702 2018-11-21,52.6734,60,100,7.393467,60,61
01:23:57.764 2018-11-21,53.90916,60,100,6.090843,60,61
01:23:58.701 2018-11-21,54.89717,60,100,5.222698,60,61
01:23:59.779 2018-11-21,56.29336,60,91.48625,3.771465,60,61
01:24:00.701 2018-11-21,57.33804,60,67.44106,2.716881,60,61
01:24:01.779 2018-11-21,58.46174,60,31.11192,1.620674,60,61
01:24:02.701 2018-11-21,59.47307,60,0,0.5916519,60,61
01:24:03.778 2018-11-21,60.49668,60,0,0,60,61
01:24:04.700 2018-11-21,61.23177,60,0,0,60,61
01:24:05.778 2018-11-21,62.11359,60,0,0,60,61
01:24:06.700 2018-11-21,62.6945,60,0,0,60,61
01:24:07.778 2018-11-21,63.24002,60,0,0,60,61
01:24:08.699 2018-11-21,63.67479,60,0,0,60,61
01:24:09.777 2018-11-21,64.06934,60,0,0,60,61
01:24:10.699 2018-11-21,64.33954,60,0,0,60,61
01:24:11.777 2018-11-21,64.62543,60,0,0,60,61
01:24:12.698 2018-11-21,64.76639,60,0,0,60,61
01:24:13.792 2018-11-21,64.85542,60,0,0,60,61
01:24:14.713 2018-11-21,64.91321,60,0,0,60,61
01:24:15.776 2018-11-21,64.89162,60,0,0,60,61
01:24:16.713 2018-11-21,64.8378,60,0,0,60,61
01:24:17.775 2018-11-21,64.70369,60,0,0,60,61
01:24:18.712 2018-11-21,64.55686,60,0,0,60,61
01:24:19.790 2018-11-21,64.36208,60,0,0,60,61
01:24:20.728 2018-11-21,64.12316,60,0,0,60,61
01:24:21.790 2018-11-21,63.88533,60,0,0,60,61
01:24:22.727 2018-11-21,63.62098,60,0,0,60,61
01:24:23.774 2018-11-21,63.26846,60,0,0,60,61
01:24:24.727 2018-11-21,62.96195,60,0,0,60,61
01:24:25.789 2018-11-21,62.59363,60,0,0,60,61
01:24:26.726 2018-11-21,62.23322,60,0,0,60,61
01:24:27.788 2018-11-21,61.85018,60,7.158417,0,60,61
01:24:28.726 2018-11-21,61.47393,60,20.22996,0,60,61
01:24:29.788 2018-11-21,61.03199,60,38.57018,0,60,61
01:24:30.725 2018-11-21,60.6879,60,53.18997,0,60,61
01:24:31.787 2018-11-21,60.38111,60,62.13341,0,60,61
01:24:32.725 2018-11-21,60.17236,60,67.68578,0,60,61
01:24:33.771 2018-11-21,59.98111,60,70.63197,0.01888657,60,61
01:24:34.724 2018-11-21,59.91449,60,68.5403,0.08551025,60,61
01:24:35.787 2018-11-21,59.88014,60,65.76534,0.1198578,60,61
01:24:36.724 2018-11-21,59.91449,60,60.86986,0.08551025,60,61
01:24:37.786 2018-11-21,59.97824,60,55.87105,0.02175903,60,61
01:24:38.723 2018-11-21,60.06251,60,50.88604,0,60,61
01:24:39.786 2018-11-21,60.19001,60,43.93885,0,60,61
01:24:40.723 2018-11-21,60.29589,60,38.48516,0,60,61
01:24:41.785 2018-11-21,60.4361,60,31.11293,0,60,61
01:24:42.722 2018-11-21,60.52528,60,25.91439,0,60,61
01:24:43.769 2018-11-21,60.6135,60,21.2545,0,60,61
01:24:44.722 2018-11-21,60.67915,60,17.72499,0,60,61
01:24:45.769 2018-11-21,60.70363,60,14.56342,0,60,61
01:24:46.706 2018-11-21,60.72524,60,12.44745,0,60,61
01:24:47.784 2018-11-21,60.72332,60,10.06645,0,60,61
01:24:48.705 2018-11-21,60.67819,60,11.6759,0,60,61
01:24:49.783 2018-11-21,60.60666,60,13.00564,0,60,61
01:24:50.705 2018-11-21,60.51844,60,16.75666,0,60,61
01:24:51.783 2018-11-21,60.40572,60,20.52049,0,60,61
01:24:52.705 2018-11-21,60.31161,60,23.06031,0,60,61
01:24:53.736 2018-11-21,60.17632,60,28.49552,0,60,61
01:24:54.704 2018-11-21,60.06456,60,32.2945,0,60,61
01:24:55.735 2018-11-21,59.96552,60,34.69481,0.02271652,60,61
01:24:56.704 2018-11-21,59.87139,60,38.34981,0.1227264,60,61
01:24:57.782 2018-11-21,59.79982,60,40.57951,0.2001762,60,61
01:24:58.703 2018-11-21,59.75864,60,41.09996,0.2354698,60,61
01:24:59.766 2018-11-21,59.71746,60,42.82806,0.2825394,60,61
01:25:00.703 2018-11-21,59.71062,60,42.674,0.2893753,60,61
01:25:01.765 2018-11-21,59.70078,60,43.33389,0.2992249,60,61
01:25:02.702 2018-11-21,59.73908,60,41.90294,0.270771,60,61
01:25:03.780 2018-11-21,59.76056,60,41.03122,0.2394371,60,61
01:25:04.702 2018-11-21,59.81159,60,39.39997,0.1942902,60,61
01:25:05.780 2018-11-21,59.87043,60,37.11837,0.1295738,60,61
01:25:06.702 2018-11-21,59.9283,60,34.99756,0.07169724,60,61
01:25:07.764 2018-11-21,59.98713,60,33.55609,0.01875305,60,61
01:25:08.701 2018-11-21,60.04007,60,30.78274,0,60,61
01:25:09.763 2018-11-21,60.08713,60,29.92662,0,60,61
