DateTime,Process Value,Process Setpoint,PID 1,PID 2,Setpoint 1,Setpoint 2
01:36:19.393 2018-11-21,23.02077,60,0,0,60,61
01:36:20.393 2018-11-21,22.99655,60,0,0,60,61
01:36:21.392 2018-11-21,22.98853,60,0,0,60,61
01:36:22.392 2018-11-21,22.96528,60,0,0,60,61
01:36:23.392 2018-11-21,22.94204,60,100,37.0519,60,61
01:36:24.392 2018-11-21,23.04303,60,100,36.96908,60,61
01:36:25.407 2018-11-21,23.28116,60,100,36.75616,60,61
01:36:26.438 2018-11-21,23.84311,60,100,36.1932,60,61
01:36:27.438 2018-11-21,24.44305,60,100,35.55695,60,61
01:36:28.437 2018-11-21,25.1142,60,100,34.9402,60,61
01:36:29.437 2018-11-21,25.99537,60,100,34.05899,60,61
01:36:30.437 2018-11-21,26.86473,60,100,33.13527,60,61
01:36:31.436 2018-11-21,27.74039,60,100,32.33196,60,61
01:36:32.436 2018-11-21,28.80811,60,100,31.25213,60,61
01:36:33.436 2018-11-21,29.83766,60,100,30.16234,60,61
01:36:34.436 2018-11-21,30.85321,60,100,29.23096,60,61
01:36:35.435 2018-11-21,32.06793,60,100,28.00414,60,61
01:36:36.435 2018-11-21,33.21931,60,100,26.78069,60,61
01:36:37.435 2018-11-21,34.32347,60,100,25.76642,60,61
01:36:38.434 2018-11-21,35.64406,60,100,24.43375,60,61
01:36:39.434 2018-11-21,36.85142,60,100,23.14858,60,61
01:36:40.434 2018-11-21,38.01159,60,100,22.08398,60,61
01:36:41.434 2018-11-21,39.36644,60,100,20.7111,60,61
01:36:42.433 2018-11-21,40.61341,60,100,19.38659,60,61
01:36:43.433 2018-11-21,41.80354,60,100,18.29171,60,61
01:36:44.433 2018-11-21,43.158,60,100,16.9193,60,61
01:36:45.432 2018-11-21,44.38317,60,100,15.61683,60,61
01:36:46.432 2018-11-21,45.57153,60,100,14.52343,60,61
01:36:47.432 2018-11-21,46.9208,60,100,13.15627,60,61
01:36:48.432 2018-11-21,48.16514,60,100,11.83486,60,61
01:36:49.431 2018-11-21,49.3532,60,100,10.7415,60,61
01:36:50.431 2018-11-21,50.70087,60,100,9.375988,60,61
